household_type,remoteness_area,Households where rent payments are less than or equal to 30% of household income,Households where rent payments are more than 30% of household income,Unable to be determined,Not applicable,Total
One family household: Couple family with no children,Major Cities of Australia,327914,82327,30821,0,441062
One family household: Couple family with no children,Inner Regional Australia,50463,14774,6792,0,72024
One family household: Couple family with no children,Outer Regional Australia,28388,4983,4803,0,38176
One family household: Couple family with no children,Remote Australia,5352,419,1252,0,7028
One family household: Couple family with no children,Very Remote Australia,3075,193,903,0,4172
One family household: Couple family with no children,Migratory - Offshore - Shipping,0,0,0,0,0
One family household: Couple family with no children,Total,415194,102701,44570,0,562463
One family household: Couple family with children,Major Cities of Australia,341020,101724,43119,0,485862
One family household: Couple family with children,Inner Regional Australia,63641,11876,10091,0,85599
One family household: Couple family with children,Outer Regional Australia,32109,3829,6645,0,42592
One family household: Couple family with children,Remote Australia,6816,544,1826,0,9180
One family household: Couple family with children,Very Remote Australia,4969,315,1661,0,6942
One family household: Couple family with children,Migratory - Offshore - Shipping,0,0,0,0,0
One family household: Couple family with children,Total,448549,118291,63334,0,630176
One family household: One parent family,Major Cities of Australia,140570,150258,29734,0,320554
One family household: One parent family,Inner Regional Australia,38355,38449,8172,0,84973
One family household: One parent family,Outer Regional Australia,19498,14241,4024,0,37768
One family household: One parent family,Remote Australia,2843,1445,734,0,5021
One family household: One parent family,Very Remote Australia,2342,631,680,0,3657
One family household: One parent family,Migratory - Offshore - Shipping,0,0,0,0,0
One family household: One parent family,Total,203602,205021,43347,0,451970
One family household: Other family,Major Cities of Australia,26142,10665,2776,0,39588
One family household: Other family,Inner Regional Australia,3914,1279,548,0,5734
One family household: Other family,Outer Regional Australia,2195,527,327,0,3051
One family household: Other family,Remote Australia,372,69,113,0,557
One family household: Other family,Very Remote Australia,469,53,109,0,638
One family household: Other family,Migratory - Offshore - Shipping,0,0,0,0,0
One family household: Other family,Total,33097,12597,3874,0,49571
Two family household: Couple family with no children,Major Cities of Australia,3631,342,615,0,4586
Two family household: Couple family with no children,Inner Regional Australia,579,27,103,0,712
Two family household: Couple family with no children,Outer Regional Australia,271,15,63,0,347
Two family household: Couple family with no children,Remote Australia,76,5,16,0,91
Two family household: Couple family with no children,Very Remote Australia,176,5,41,0,214
Two family household: Couple family with no children,Migratory - Offshore - Shipping,0,0,0,0,0
Two family household: Couple family with no children,Total,4724,391,835,0,5947
Two family household: Couple family with children,Major Cities of Australia,9196,1349,1800,0,12340
Two family household: Couple family with children,Inner Regional Australia,1338,78,299,0,1721
Two family household: Couple family with children,Outer Regional Australia,737,32,204,0,979
Two family household: Couple family with children,Remote Australia,250,3,91,0,347
Two family household: Couple family with children,Very Remote Australia,829,13,240,0,1084
Two family household: Couple family with children,Migratory - Offshore - Shipping,0,0,0,0,0
Two family household: Couple family with children,Total,12350,1483,2634,0,16466
Two family household: One parent family,Major Cities of Australia,7646,1920,1483,0,11055
Two family household: One parent family,Inner Regional Australia,1962,321,399,0,2687
Two family household: One parent family,Outer Regional Australia,989,112,213,0,1311
Two family household: One parent family,Remote Australia,261,24,76,0,358
Two family household: One parent family,Very Remote Australia,648,24,173,0,841
Two family household: One parent family,Migratory - Offshore - Shipping,0,0,0,0,0
Two family household: One parent family,Total,11510,2398,2342,0,16253
