household_type,remoteness_area,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$474,$475-$499,$500-$524,$525-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Not stated,Not applicable,Total
One family household: Couple family with no children,Major Cities of Australia,869,1020,2306,2069,6642,4751,6709,6068,12142,10804,25965,20140,39164,30825,46170,23191,35959,19821,27786,11699,48247,23369,11247,5311,8421,10365,0,441062
One family household: Couple family with no children,Inner Regional Australia,434,337,981,748,2307,1873,3961,3111,6596,4824,8860,4889,7659,4289,5560,2130,3330,1387,1906,498,2313,844,325,158,289,2397,0,72024
One family household: Couple family with no children,Outer Regional Australia,841,437,1036,724,1889,1560,2966,1889,4267,2412,3996,1800,3209,1698,2270,805,1354,540,805,228,1054,375,149,57,118,1694,0,38176
One family household: Couple family with no children,Remote Australia,744,198,379,222,401,279,478,212,540,240,463,143,337,191,283,106,238,103,183,40,304,154,92,70,65,583,0,7028
One family household: Couple family with no children,Very Remote Australia,966,310,395,230,299,177,261,104,185,70,135,39,83,20,78,21,52,14,53,11,69,42,20,6,14,507,0,4172
One family household: Couple family with no children,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One family household: Couple family with no children,Total,3854,2300,5095,3995,11537,8636,14378,11383,23726,18348,39419,27015,50448,37022,54360,26260,40924,21867,30739,12473,51990,24779,11847,5596,8906,15547,0,562463
One family household: Couple family with children,Major Cities of Australia,652,336,1063,961,2033,2147,4135,3647,10523,8827,22367,19830,39631,32012,48835,26047,39722,21756,32549,13741,60932,32488,17793,10509,21543,11794,0,485862
One family household: Couple family with children,Inner Regional Australia,382,188,645,443,1120,1053,2950,2219,6212,4742,9315,5617,10103,6117,8521,3582,5764,2524,3320,1023,4261,1593,568,257,464,2622,0,85599
One family household: Couple family with children,Outer Regional Australia,1016,398,830,515,1278,1183,2612,1648,4613,2609,4694,2288,4030,2182,3011,1082,1888,764,1089,290,1452,581,228,106,167,2034,0,42592
One family household: Couple family with children,Remote Australia,1157,295,636,225,422,353,524,229,628,250,536,195,408,194,345,136,311,117,233,57,385,240,187,120,203,799,0,9180
One family household: Couple family with children,Very Remote Australia,1716,732,842,363,505,309,330,146,286,109,168,51,116,29,73,20,56,27,62,10,114,104,50,24,27,670,0,6942
One family household: Couple family with children,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
One family household: Couple family with children,Total,4919,1941,4026,2499,5350,5045,10559,7886,22263,16534,37081,27981,54282,40528,60783,30861,47745,25185,37256,15115,67152,35006,18832,11021,22397,17928,0,630176
One family household: One parent family,Major Cities of Australia,1297,1509,5848,5920,6803,6290,8957,6294,11301,10385,23373,18322,33377,23296,32479,15821,21954,11038,15172,5769,23327,10149,4838,2594,4254,10176,0,320554
One family household: One parent family,Inner Regional Australia,398,425,1597,1764,2349,2538,5097,4055,8442,6536,11183,6314,9519,4909,6100,2245,3081,1277,1575,413,1677,528,224,75,125,2522,0,84973
One family household: One parent family,Outer Regional Australia,388,431,1182,1252,2052,2089,3647,2638,4698,2876,4315,1931,2870,1440,1716,549,872,289,430,85,444,159,50,22,41,1311,0,37768
One family household: One parent family,Remote Australia,282,196,351,304,423,323,489,230,432,217,376,112,237,96,164,46,115,36,94,17,103,55,18,13,16,272,0,5021
One family household: One parent family,Very Remote Australia,633,441,490,298,355,253,191,113,184,70,112,25,58,28,38,11,17,12,15,5,24,22,7,5,5,256,0,3657
One family household: One parent family,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
