household_type,remoteness_area,Owned outright,Owned with a mortgage,Purchased under a shared equity scheme,Rented,Occupied rent free,Occupied under a life tenure scheme,Other,Not stated,Not applicable,Total
One family household: Couple family with no children,Major Cities of Australia,693510,480370,2341,441062,10342,17539,2467,14915,0,1662560
One family household: Couple family with no children,Inner Regional Australia,290234,141862,624,72024,3884,4800,857,5734,0,520025
One family household: Couple family with no children,Outer Regional Australia,124804,62019,160,38176,3591,1038,462,3049,0,233292
One family household: Couple family with no children,Remote Australia,12533,6339,22,7028,1324,60,93,428,0,27832
One family household: Couple family with no children,Very Remote Australia,4301,1680,5,4172,1143,42,96,251,0,11694
One family household: Couple family with no children,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0
One family household: Couple family with no children,Total,1125384,692271,3158,562463,20290,23484,3970,24380,0,2455402
One family household: Couple family with children,Major Cities of Australia,380154,1252127,1701,485862,8987,601,2373,14743,0,2146553
One family household: Couple family with children,Inner Regional Australia,84007,268036,245,85599,3863,135,588,3135,0,445613
One family household: Couple family with children,Outer Regional Australia,37908,103681,148,42592,4258,76,444,1576,0,190684
One family household: Couple family with children,Remote Australia,4688,10469,18,9180,1616,17,81,279,0,26353
One family household: Couple family with children,Very Remote Australia,1736,2410,6,6942,1236,18,78,223,0,12642
One family household: Couple family with children,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0
One family household: Couple family with children,Total,508486,1636723,2120,630176,19958,849,3566,19951,0,2821839
One family household: One parent family,Major Cities of Australia,157530,207396,1434,320554,4540,1191,1353,8441,0,702452
One family household: One parent family,Inner Regional Australia,39860,53533,227,84973,1539,246,358,2926,0,183662
One family household: One parent family,Outer Regional Australia,16694,21130,109,37768,1078,76,203,1596,0,78659
One family household: One parent family,Remote Australia,1586,1803,15,5021,236,10,39,239,0,8943
One family household: One parent family,Very Remote Australia,629,447,6,3657,246,11,31,127,0,5142
One family household: One parent family,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0
One family household: One parent family,Total,216298,284310,1783,451970,7638,1541,1983,13332,0,978859
One family household: Other family,Major Cities of Australia,22181,16381,135,39588,1403,253,215,1811,0,81965
One family household: Other family,Inner Regional Australia,5741,3142,30,5734,219,64,63,488,0,15486
One family household: Other family,Outer Regional Australia,2570,1379,11,3051,157,31,23,289,0,7512
One family household: Other family,Remote Australia,259,136,0,557,32,3,17,60,0,1062
One family household: Other family,Very Remote Australia,115,41,0,638,34,4,10,38,0,877
One family household: Other family,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0
One family household: Other family,Total,30866,21089,170,49571,1851,358,325,2676,0,106899
Two family household: Couple family with no children,Major Cities of Australia,8736,9504,29,4586,132,14,48,319,0,23360
Two family household: Couple family with no children,Inner Regional Australia,2360,2274,4,712,50,11,11,69,0,5489
Two family household: Couple family with no children,Outer Regional Australia,816,725,3,347,33,5,5,28,0,1962
Two family household: Couple family with no children,Remote Australia,95,58,0,91,15,0,3,13,0,261
Two family household: Couple family with no children,Very Remote Australia,44,20,0,214,20,0,0,0,0,308
Two family household: Couple family with no children,Migratory - Offshore - Shipping,0,0,0,0,0,0,0,0,0,0
Two family household: Couple family with no children,Total,12055,12568,31,5947,251,29,63,433,0,31385
Two family household: Couple family with children,Major Cities of Australia,16462,38465,97,12340,276,23,147,818,0,68625
Two family household: Couple family with children,Inner Regional Australia,3355,6038,16,1721,123,6,16,138,0,11409
Two family household: Couple family with children,Outer Regional Australia,1185,1925,4,979,107,10,8,51,0,4266
Two family household: Couple family with children,Remote Australia,138,174,3,347,47,0,3,16,0,731
