census_year,area_code,area,household_type,household_count
2023,9999,Total - New Zealand by regional council,Total - household composition by number of usual residents,1780527
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),1156659
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),62322
2023,9999,Total - New Zealand by regional council,Three-or-more family household (with or without other people),4290
2023,9999,Total - New Zealand by regional council,Other multi-person household,95478
2023,9999,Total - New Zealand by regional council,One-person household with one usual resident,389352
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,10698
2023,9999,Total - New Zealand by regional council,Total stated - household composition by number of usual residents,1718799
2023,9999,Total - New Zealand by regional council,Not elsewhere included,61725
2023,01,Northland Region,Total - household composition by number of usual residents,70476
2023,01,Northland Region,One-family household (with or without other people),43119
2023,01,Northland Region,Two-family household (with or without other people),2349
2023,01,Northland Region,Three-or-more family household (with or without other people),183
2023,01,Northland Region,Other multi-person household,2967
2023,01,Northland Region,One-person household with one usual resident,16806
2023,01,Northland Region,Household composition unidentifiable,837
2023,01,Northland Region,Total stated - household composition by number of usual residents,66264
2023,01,Northland Region,Not elsewhere included,4212
2023,02,Auckland Region,Total - household composition by number of usual residents,539490
2023,02,Auckland Region,One-family household (with or without other people),360525
2023,02,Auckland Region,Two-family household (with or without other people),29388
2023,02,Auckland Region,Three-or-more family household (with or without other people),2391
2023,02,Auckland Region,Other multi-person household,30246
2023,02,Auckland Region,One-person household with one usual resident,95868
2023,02,Auckland Region,Household composition unidentifiable,3420
2023,02,Auckland Region,Total stated - household composition by number of usual residents,521832
2023,02,Auckland Region,Not elsewhere included,17658
2023,03,Waikato Region,Total - household composition by number of usual residents,177543
2023,03,Waikato Region,One-family household (with or without other people),115851
2023,03,Waikato Region,Two-family household (with or without other people),5769
2023,03,Waikato Region,Three-or-more family household (with or without other people),345
2023,03,Waikato Region,Other multi-person household,8766
2023,03,Waikato Region,One-person household with one usual resident,38127
2023,03,Waikato Region,Household composition unidentifiable,1395
2023,03,Waikato Region,Total stated - household composition by number of usual residents,170253
2023,03,Waikato Region,Not elsewhere included,7290
2023,04,Bay of Plenty Region,Total - household composition by number of usual residents,118452
2023,04,Bay of Plenty Region,One-family household (with or without other people),76725
2023,04,Bay of Plenty Region,Two-family household (with or without other people),4254
2023,04,Bay of Plenty Region,Three-or-more family household (with or without other people),291
2023,04,Bay of Plenty Region,Other multi-person household,5298
2023,04,Bay of Plenty Region,One-person household with one usual resident,25878
2023,04,Bay of Plenty Region,Household composition unidentifiable,1152
2023,04,Bay of Plenty Region,Total stated - household composition by number of usual residents,113598
2023,04,Bay of Plenty Region,Not elsewhere included,4854
2023,05,Gisborne Region,Total - household composition by number of usual residents,17124
2023,05,Gisborne Region,One-family household (with or without other people),10449
2023,05,Gisborne Region,Two-family household (with or without other people),798
2023,05,Gisborne Region,Three-or-more family household (with or without other people),69
2023,05,Gisborne Region,Other multi-person household,852
2023,05,Gisborne Region,One-person household with one usual resident,3909
2023,05,Gisborne Region,Household composition unidentifiable,156
2023,05,Gisborne Region,Total stated - household composition by number of usual residents,16236
2023,05,Gisborne Region,Not elsewhere included,888
2023,06,Hawke's Bay Region,Total - household composition by number of usual residents,62964
2023,06,Hawke's Bay Region,One-family household (with or without other people),38976
2023,06,Hawke's Bay Region,Two-family household (with or without other people),2001
2023,06,Hawke's Bay Region,Three-or-more family household (with or without other people),159
2023,06,Hawke's Bay Region,Other multi-person household,2838
2023,06,Hawke's Bay Region,One-person household with one usual resident,14718
2023,06,Hawke's Bay Region,Household composition unidentifiable,831
2023,06,Hawke's Bay Region,Total stated - household composition by number of usual residents,59520
2023,06,Hawke's Bay Region,Not elsewhere included,3444
2023,07,Taranaki Region,Total - household composition by number of usual residents,48108
2023,07,Taranaki Region,One-family household (with or without other people),31362
2023,07,Taranaki Region,Two-family household (with or without other people),1020
2023,07,Taranaki Region,Three-or-more family household (with or without other people),48
2023,07,Taranaki Region,Other multi-person household,1887
2023,07,Taranaki Region,One-person household with one usual resident,11727
2023,07,Taranaki Region,Household composition unidentifiable,288
2023,07,Taranaki Region,Total stated - household composition by number of usual residents,46329
2023,07,Taranaki Region,Not elsewhere included,1779
2023,08,Manawatū-Whanganui Region,Total - household composition by number of usual residents,95187
2023,08,Manawatū-Whanganui Region,One-family household (with or without other people),59346
2023,08,Manawatū-Whanganui Region,Two-family household (with or without other people),2376
2023,08,Manawatū-Whanganui Region,Three-or-more family household (with or without other people),129
2023,08,Manawatū-Whanganui Region,Other multi-person household,4521
2023,08,Manawatū-Whanganui Region,One-person household with one usual resident,25119
2023,08,Manawatū-Whanganui Region,Household composition unidentifiable,576
2023,08,Manawatū-Whanganui Region,Total stated - household composition by number of usual residents,92067
2023,08,Manawatū-Whanganui Region,Not elsewhere included,3117
2023,09,Wellington Region,Total - household composition by number of usual residents,194406
2023,09,Wellington Region,One-family household (with or without other people),124695
2023,09,Wellington Region,Two-family household (with or without other people),5451
2023,09,Wellington Region,Three-or-more family household (with or without other people),300
2023,09,Wellington Region,Other multi-person household,12732
2023,09,Wellington Region,One-person household with one usual resident,44886
2023,09,Wellington Region,Household composition unidentifiable,711
2023,09,Wellington Region,Total stated - household composition by number of usual residents,188772
2023,09,Wellington Region,Not elsewhere included,5637
