census_year,area_code,area,household_type,annual_household_income_band,Total - weekly rent paid by household,Under $200,$200 - $299,$300 - $399,$400 - $499,$500 - $599,$600 - $699,$700 - $799,$800 and over,Total stated - weekly rent paid by household,Not elsewhere included
2023,9999,Total - New Zealand by regional council,Total - household composition,Total - total household income,565974,89439,53325,80247,101067,99042,68544,32286,35712,559659,6312
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),Total - total household income,321618,36771,22923,40365,62694,68109,47994,21306,19254,319413,2205
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),Total - total household income,20886,3099,1350,1782,2682,3507,3375,2235,2721,20754,135
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),Total - total household income,1509,264,96,117,144,168,201,168,336,1497,12
2023,9999,Total - New Zealand by regional council,Other multi-person household,Total - total household income,56640,6423,4350,5802,8349,9507,7746,4917,9168,56259,381
2023,9999,Total - New Zealand by regional council,One-person household,Total - total household income,127074,34998,20772,26712,20601,11745,5298,2094,2385,124602,2469
2023,9999,Total - New Zealand by regional council,Total stated - household composition,Total - total household income,527727,81561,49494,74778,94467,93036,64611,30717,33864,522528,5199
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,Total - total household income,38247,7878,3831,5469,6600,6006,3930,1566,1851,37134,1113
2023,9999,Total - New Zealand by regional council,Total - household composition,"$20,000 or less",50034,18021,5898,7158,6642,5373,3306,1317,1488,49200,831
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),"$20,000 or less",19059,5058,1416,2229,3267,3330,2178,792,609,18879,177
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),"$20,000 or less",408,120,33,36,42,45,66,39,24,402,3
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),"$20,000 or less",15,6,3,0,0,3,0,3,0,15,0
2023,9999,Total - New Zealand by regional council,Other multi-person household,"$20,000 or less",3012,546,312,318,438,507,345,174,333,2973,39
2023,9999,Total - New Zealand by regional council,One-person household,"$20,000 or less",27450,12264,4128,4566,2877,1476,708,303,513,26838,609
2023,9999,Total - New Zealand by regional council,Total stated - household composition,"$20,000 or less",49941,17994,5895,7149,6627,5361,3297,1311,1479,49113,828
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,"$20,000 or less",93,27,3,9,12,12,9,9,9,87,3
2023,9999,Total - New Zealand by regional council,Total - household composition,"$20,001-$30,000",45123,17301,6810,7119,5622,3699,1848,759,858,44016,1104
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),"$20,001-$30,000",12756,3441,1038,1770,2508,2130,1122,378,243,12636,117
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),"$20,001-$30,000",240,90,24,18,21,30,24,15,15,237,3
2023,9999,Total - New Zealand by regional council,Three or more family household (with or without other people),"$20,001-$30,000",12,6,0,0,0,0,3,3,0,12,0
2023,9999,Total - New Zealand by regional council,Other multi-person household,"$20,001-$30,000",2376,549,201,234,306,312,243,180,333,2355,21
2023,9999,Total - New Zealand by regional council,One-person household,"$20,001-$30,000",29694,13194,5544,5094,2781,1221,456,183,261,28734,963
2023,9999,Total - New Zealand by regional council,Total stated - household composition,"$20,001-$30,000",45081,17286,6807,7113,5616,3693,1845,759,852,43977,1104
2023,9999,Total - New Zealand by regional council,Household composition unidentifiable,"$20,001-$30,000",39,15,0,3,3,6,3,0,6,39,0
2023,9999,Total - New Zealand by regional council,Total - household composition,"$30,001-$50,000",72021,15585,9789,14034,13530,9555,4764,1716,1854,70827,1197
2023,9999,Total - New Zealand by regional council,One-family household (with or without other people),"$30,001-$50,000",38814,8403,3837,6315,8055,6504,3351,1068,729,38262,552
2023,9999,Total - New Zealand by regional council,Two-family household (with or without other people),"$30,001-$50,000",639,207,48,63,72,102,78,30,30,633,6
